Status,Problem ,Solution,Topic,Sub Topic,Difficulty,Remarks,Link
Yes,https://leetcode.com/problems/kth-ancestor-of-a-tree-node/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Trees.md,Cheatsheets,,Hard,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Tries.md,Cheatsheets,,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Cheatsheets/Two_Pointers_Sliding_Window.md,Cheatsheets,,,,
Yes,https://codeforces.com/problemset/problem/1903/A,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Codeforces_Practice/Div2a/A_Halloumi_Boxes.py,Codeforces Practice,Div2a,,,
Yes,https://codeforces.com/problemset/problem/71/A,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Codeforces_Practice/Div2a/A_Way_Too_Long_Words.py,Codeforces Practice,Div2a,,,
Yes,https://codeforces.com/contest/1732/problem/B,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Codeforces_Practice/Div2b/B_Ugu.py,Codeforces Practice,Div2b,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/Frog_Jump%28DP-3%29.py,Dynamic Programming,1D DP,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/Frog_Jump_with_k_distances%28DP-4%29.py,Dynamic Programming,1D DP,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/House_Robber_%28DP_6%29.py,Dynamic Programming,1D DP,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/Jump_Game_1.py,Dynamic Programming,1D DP,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/Jump_Game_2.py,Dynamic Programming,1D DP,,,
Yes,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-i/descriptio,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/1D_DP/Shortest_Dist_with_road_addition_queries.py,Dynamic Programming,1D DP,Medium,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/3-d_DP__Ninja_and_his_friends_%28DP-%E2%80%A6.py,Dynamic Programming,2D 3D DP,,,
Yes,https://leetcode.com/problems/cherry-pickup/,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/4D_Cherry_Pickup.py,Dynamic Programming,2D 3D DP,Hard,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Escape_Dungeon_grid.py,Dynamic Programming,2D 3D DP,,,
Yes,,https://github.com/AshishSalaskar1/DS_Algo_Playground/blob/master/Track/DSA_A_to_Z/Dynamic%20Programming/2D_3D_DP/Grid_Unique_Paths_2_%28DP_9%29.py,Dynamic Programming,2D 3D DP,,,
